goos: windows
goarch: amd64
pkg: github.com/maniartech/signals/tests
cpu: AMD Ryzen 7 5700G with Radeon Graphics         
BenchmarkAsyncTryEmit_TenListeners-16             	  337540	      4201 ns/op	    1456 B/op	      12 allocs/op
BenchmarkAsyncTryEmit_TenListeners-16             	  289683	      4072 ns/op	    1456 B/op	      12 allocs/op
BenchmarkAsyncTryEmit_Bounded_TenListeners-16     	  235107	      5640 ns/op	    1456 B/op	      12 allocs/op
BenchmarkAsyncTryEmit_Bounded_TenListeners-16     	  160132	      6289 ns/op	    1456 B/op	      12 allocs/op
BenchmarkAsyncTryEmit_Bounded_TenListeners-16     	  205712	      6518 ns/op	    1456 B/op	      12 allocs/op
BenchmarkAsyncTryEmit_Bounded_TenListeners-16     	  224922	      6082 ns/op	    1456 B/op	      12 allocs/op
BenchmarkAsyncTryEmit_Bounded_TenListeners-16     	  200073	      5730 ns/op	    1456 B/op	      12 allocs/op
BenchmarkAsyncTryEmit_Bounded_TenListeners-16     	  231384	      5881 ns/op	    1456 B/op	      12 allocs/op
BenchmarkSignalAddRemoveListener_Concurrent-16    	   54266	     22472 ns/op	   81973 B/op	       5 allocs/op
BenchmarkSignalAddRemoveListener_Concurrent-16    	   60526	     22355 ns/op	   81972 B/op	       5 allocs/op
BenchmarkSignalAddRemoveListener_Concurrent-16    	   57712	     21620 ns/op	   81972 B/op	       5 allocs/op
BenchmarkSignalAddRemoveListener_Concurrent-16    	   56488	     23011 ns/op	   81973 B/op	       5 allocs/op
BenchmarkSignalAddRemoveListener_Concurrent-16    	   54783	     28887 ns/op	   81972 B/op	       5 allocs/op
BenchmarkSignalAddRemoveListener_Concurrent-16    	   52347	     23431 ns/op	   81972 B/op	       5 allocs/op
PASS
ok  	github.com/maniartech/signals/tests	134.202s
