goos: windows
goarch: amd64
pkg: github.com/maniartech/signals/tests
cpu: AMD Ryzen 7 5700G with Radeon Graphics         
BenchmarkAsyncTryEmit_TenListeners-16             	  199438	      6215 ns/op	    1456 B/op	      12 allocs/op
BenchmarkAsyncTryEmit_TenListeners-16             	  268284	      5908 ns/op	    1456 B/op	      12 allocs/op
BenchmarkAsyncTryEmit_Bounded_TenListeners-16     	  134508	      8907 ns/op	    1456 B/op	      12 allocs/op
BenchmarkAsyncTryEmit_Bounded_TenListeners-16     	  139832	      8902 ns/op	    1456 B/op	      12 allocs/op
BenchmarkAsyncTryEmit_Bounded_TenListeners-16     	  137503	      9226 ns/op	    1456 B/op	      12 allocs/op
BenchmarkAsyncTryEmit_Bounded_TenListeners-16     	  139004	      9872 ns/op	    1456 B/op	      12 allocs/op
BenchmarkAsyncTryEmit_Bounded_TenListeners-16     	  132106	      9723 ns/op	    1456 B/op	      12 allocs/op
BenchmarkAsyncTryEmit_Bounded_TenListeners-16     	  141152	      9188 ns/op	    1456 B/op	      12 allocs/op
BenchmarkSignalAddRemoveListener_Concurrent-16    	   34924	     31842 ns/op	   81973 B/op	       5 allocs/op
BenchmarkSignalAddRemoveListener_Concurrent-16    	   44269	     27984 ns/op	   81972 B/op	       5 allocs/op
BenchmarkSignalAddRemoveListener_Concurrent-16    	   46165	     32179 ns/op	   81973 B/op	       5 allocs/op
BenchmarkSignalAddRemoveListener_Concurrent-16    	   50544	     28430 ns/op	   81972 B/op	       5 allocs/op
BenchmarkSignalAddRemoveListener_Concurrent-16    	   51583	     28838 ns/op	   81972 B/op	       5 allocs/op
BenchmarkSignalAddRemoveListener_Concurrent-16    	   40765	     26523 ns/op	   81973 B/op	       5 allocs/op
PASS
ok  	github.com/maniartech/signals/tests	149.722s
